Road,FirstLetter,Walk,Zone,Notes
ALL SAINTS ROAD,A,1,1,
ABELYN AVENUE,A,59,59,
ACACIA TERRACE,A,21,21,
ADDINGTON ROAD,A,16,16,
ADELAIDE DRIVE,A,18,18,
ADISHAM GREEN,A,29,29,
AGATE COURT,A,32,32,
ALBANY COURT,A,16,16,
ALBANY ROAD,A,16,16,
ALBION TERRACE,A,70,70,
ALEXANDER COURT,A,23,23,
ALEXANDRA CLOSE,A,26,26,
ALLENBY WALK,A,21,21,
AMBER RISE,A,34,34,
AMBLESIDE,A,4,4,
AMETHYST DRIVE,A,32,32,
AMETHYST HOUSE,A,32,32,
ANATASE CLOSE,A,34,34,
ANCHOR BUSINESS PARK,A,69,69,
ANDREWS WALK,A,21,21,
ANSELM CLOSE,A,16,16,
APOLLO CLOSE,A,70,70,
APPLE LODGE,A,40,40,
APPLEGARTH ROAD,A,25,25,
ARCHER COURT,A,31,31,
ARCHER HOUSE,A,59,59,
ARGENT WAY,A,34,34,
ARTHUR STREET,A,9,9,
ARUNDEL AVENUE,A,8,8,
ASHINGTON CLOSE,A,21,21,
ASHMEADS RISE,A,17,17,
ASHTEAD DRIVE,A,40,40,
ASHTREE HOUSE,A,4,4,
ATTLEE WAY,A,27,27,
AUBRETIA WALK,A,9,9,
AUCKLAND DRIVE,A,19,19,
AUSTIN CLOSE,A,28,28,
AVENUE OF REMEMBRANCE,A,68,68,
AVENUE OF REMEMBRANCE-NAMED HOUSES,A,9,9,
AYLEWYN GREEN,A,29,29,
BADGER EDGE,B,40,40,
BALAS DRIVE,B,32,32,
BALE GROVE,B,31,31,
BALLARD COURT,B,70,70,
BALMORAL TERRACE,B,18,18,
BANK HOUSE,B,2,2,
BANNISTER HILL,B,19,19,
BAPCHILD AVENUE,B,40,40,
BARGE WAY,B,70,70,
BARKERS COURT,B,18,18,
BARKERS END,B,61,61,
BARLEY HOUSE,B,59,59,
BARLEY WAY,B,25,25,
BARN CLOSE,B,19,19,
BARNFIELDS COURT,B,59,59,
BARROW GROVE,B,18,18,
BASSETT RD,B,18,18,
BAXTER COURT,B,40,40,
BAYFORD COURT,B,69,69,
BAYFORD ROAD,B,33,33,
BEACONSFIELD ROAD,B,4,4,
BEAN COURT,B,9,9,
BEATRICE LODGE,B,68,68,
BEAUVOIR DRIVE,B,28,28,
BECKER WAY,B,25,25,
BECKETT COURT,B,70,70,
BEECHWOOD AVENUE,B,25,25,
BELL ROAD - BELL HOUSE,B,68,68,
BELL ROAD 21-79,B,10,10,
BELL ROAD 2-4 & PANO COURT,B,9,9,
"BELL ROAD 60-102, 85-155",B,12,12,
BELMONT ROAD,B,12,12,
BELVOIR HOUSE,B,2,2,
BERGAMOT CLOSE,B,36,36,
BERKELEY COURT,B,16,16,
BINGHAM ROAD,B,69,69,
BIRCH HOUSE,B,4,4,
BISHOP COURT,B,23,23,
BISMUTH DRIVE,B,32,32,
BISMUTH HOUSE,B,32,32,
BLACKBIRD MEWS,B,40,40,
BLANDFORD GARDENS,B,12,12,
BLENHEIM ROAD,B,3,3,
BLOSSOM STREET,B,40,40,
BLUEBELL DRIVE,B,36,36,
BLYTHE CLOSE,B,2,2,
BON ACCORD HOUSE,B,69,69,
BOND ROAD,B,32,32,
BONHAM DRIVE,B,69,69,
"BORDEN LANE 1-157A, 96 - 2",B,18,18,
"BORDEN LANE 157-247, 98-160",B,19,19,
BOURNE GROVE,B,21,21,
BOURNE PLACE,B,9,9,
BOWATER CLOSE,B,68,68,
BRACKEN COURT,B,1,1,
BRADLEY DRIVE,B,12,12,
BRAEBURN LANE,B,17,17,
BRAMBLE DOWN PLACE,B,11,11,
BRAMBLEFIELD LANE,B,31,31,
BRAMBLING RISE,B,25,25,
BRENCHLEY ROAD,B,36,36,
BREWERY ROAD,B,70,70,
BRICKFIELD GARDENS,B,40,40,
BRICKMAKERS INDUSTRIAL ESTATE,B,69,69,
BRIER ROAD,B,17,17,
BRISBANE AVENUE,B,18,18,
BRISTOL CLOSE,B,32,32,
BRITANNIA CLOSE,B,26,26,
"BROOM ROAD 1-3, 2-18",B,2,2,
"BROOM ROAD 13-29, 20-82",B,1,1,
BRUGES COURT,B,30,30,
BURKESTON CLOSE,B,28,28,
BURLEY ROAD,B,16,16,
BURNHAM CLOSE,B,26,26,
BURNUP BANK,B,2,2,
"BURRS, THE",B,33,33,
CAITHORPE CLOSE,C,61,61,
CALDEW GROVE,C,33,33,
CALLIPER HOUSE,C,32,32,
CAMBRIA CRESCENT,C,61,61,
CAMBRIA WALK,C,68,68,
CAMBRIDGE ROAD,C,6,6,
CANBERRA GARDENS,C,18,18,
CANTERBURY ROAD - CANTERBURY COURT,C,9,9,
CANTERBURY ROAD - SWANSTREE LODGE,C,6,6,
"CANTERBURY ROAD 1-29, 4, 26-32",C,68,68,
"CANTERBURY ROAD 193-219, 190-218",C,3,3,
"CANTERBURY ROAD 31-165, 60-134",C,4,4,
CAPEL ROAD,C,10,10,
CARDINE CLOSE,C,26,26,
CARNATION CRESCENT,C,36,36,
CARNELIAN HOUSE,C,32,32,
CARR COURT,C,12,12,
"CASTLE COURT, WATLING SQUARE",C,40,40,
CASTLE ROAD,C,69,69,
CASTLEROUGH LANE,C,30,30,
CAVELL WAY,C,20,20,
CEDAR CLOSE,C,6,6,
"CEDARS, THE",C,1,1,
CELT CLOSE,C,30,30,
CENTRAL AVENUE - CENTRAL HOUSE,C,68,68,
CENTRAL AVENUE - REMAINDER,C,9,9,
CENTRE 2000,C,68,68,
"CHALKWELL ROAD 128-144, 133-195",C,18,18,
"CHALKWELL ROAD 31-119, 14-124",C,23,23,
CHALLENGER CLOSE,C,26,26,
CHAPEL PARK,C,69,69,
CHAPPELL WAY,C,25,25,
CHARLOTTE STREET,C,23,23,
CHARTER COURT,C,32,32,
CHARTWELL GROVE,C,16,16,
CHATSWORTH DRIVE,C,20,20,
CHAUCER ROAD,C,13,13,
CHEGWORTH GARDENS,C,11,11,
CHERRY CLOSE,C,25,25,
CHERRY MEWS,C,25,25,
CHERRYFIELDS,C,17,17,
CHESTNUT LANE,C,25,25,
CHEYNE CLOSE,C,29,29,
CHILMAN HOUSE,C,2,2,
CHILTON AVENUE,C,33,33,
CHURCH MARSHES,C,68,68,
CHURCH ROAD,C,1,1,
CHURCH ROAD - FIRMS,C,69,69,
CHURCH STREET 11-51,C,23,23,
CHURCHILL HOUSE,C,1,1,
CINNABAR DRIVE,C,32,32,
CLARENDON CLOSE,C,8,8,
CLARITY MEWS,C,21,21,
CLEMENT CLOSE,C,29,29,
CLERKE DRIVE,C,28,28,
CLIFFORD CRESCENT,C,61,61,
CLIVE ROAD,C,21,21,
CLOISTERS,C,9,9,
CLOVER COURT,C,1,1,
COBHAM AVENUE,C,8,8,
COLDHARBOUR LANE,C,30,30,
COLE CLOSE,C,59,59,
COLEMAN DRIVE,C,30,30,
COLFE WAY,C,29,29,
COLLEGE ROAD - REMAINDER,C,16,16,
COLLEGE ROAD 60,C,18,18,
COLLINGWOOD WALK,C,21,21,
COMMONWEALTH CLOSE,C,6,6,
CONNAUGHT ROAD,C,12,12,
CONQUEROR COURT,C,32,32,
COOKS LANE,C,70,70,
COOMBE DRIVE,C,4,4,
COPPER BEECH CLOSE,C,18,18,
COPPINS LANE,C,19,19,
CORNFIELD CLOSE,C,25,25,
CORTLAND CLOSE,C,23,23,
CORTLANDS MEWS,C,23,23,
COTTON ROAD,C,32,32,
COURT ROAD,C,27,27,
COWPER ROAD,C,2,2,
CRANBROOK DRIVE,C,11,11,
"CRESCENT, THE",C,30,30,
CRICKETERS CLOSE,C,30,30,
CROCUS DRIVE,C,36,36,
CROFT AVENUE,C,59,59,
CROMERS ROAD,C,12,12,
CROSS LANE,C,70,70,
CROSSWAYS,C,36,36,
"CROWN QUAY LANE 3HX, 3ST, 3JN, 3JB, THE QUAYS",C,69,69,
"CROWN QUAY LANE 3HY, 3HU",C,68,68,
CROWN QUAY TRADE CENTRE,C,69,69,
CROWN ROAD,C,23,23,
CRYALLS LANE - REMAINDER,C,17,17,
CRYALLS LANE 21-25,C,21,21,
D2 TRADING ESTATE,D,69,69,
DAISY WALK,D,36,36,
DALEWOOD,D,59,59,
DANES MEAD,D,31,31,
DEAN ROAD,D,25,25,
DEANE CLOSE,D,61,61,
DEBHAM GROVE,D,61,61,
DEHAM HOUSE,D,20,20,
DENBIGH CLOSE,D,27,27,
DENE COURT,D,13,13,
DENTAL CLOSE,D,17,17,
DERBY CLOSE,D,25,25,
DIAMOND CLOSE,D,32,32,
DIANA CLOSE,D,70,70,
DICKSON COURT,D,2,2,
DILIGENT DRIVE,D,26,26,
DOBBIE CLOSE,D,27,27,
DOLPHIN PARK - CREMERS ROAD,D,69,69,
DOLPHIN ROAD,D,1,1,
DONEMOWE DRIVE,D,29,29,
DOVER STREET,D,68,68,
DOWNS CLOSE,D,13,13,
DRYWALL INDUSTRIAL ESTATE,D,69,69,
DUNEDIN CLOSE,D,19,19,
DYNGLEY CLOSE,D,27,27,
EADRED WAY,E,28,28,
EAGLES CLOSE,E,1,1,
EAST GREEN,E,30,30,
EAST HALL CLOSE,E,2,2,
EAST HALL LANE,E,2,2,
EAST HALL WALK,E,59,59,
EAST STREET - REMAINDER,E,9,9,
EAST STREET - SBC,E,68,68,
"EAST STREET 100A, 102A",E,33,33,
EASTON DRIVE,E,59,59,
EASTWOOD ROAD,E,20,20,
EAVES COURT,E,69,69,
ECHO HOUSE,E,68,68,
ECLIPSE DRIVE,E,26,26,
EDWARD DRIVE,E,31,31,
EDYNGHAM CLOSE,E,29,29,
ELEANOR DRIVE,E,29,29,
ELM GROVE,E,4,4,
EMERALD CRESCENT,E,32,32,
EMPIRE COURT,E,9,9,
EPPS ROAD,E,13,13,
ESTHER COURT,E,26,26,
EUROLINK INDUSTRIAL ESTATE,E,69,69,
EUROLINK V INDUSTRAIL ESTATE,E,61,61,
EUROLINK WAY - REMAINDER,E,69,69,
